url	Categories	Products	Industries	Internals
https://blog.adobe.com/ko/publish/2021/12/02/decrease-in-online-shopping-sales-on-cyber-monday	"트렌드 및 리서치, 커머스"	"익스피리언스 클라우드, 애널리틱스"	"리테일"	"유통 및 전자상거래 트렌드, 익스피리언스 클라우드"
https://blog.adobe.com/ko/publish/2021/12/01/how-to-use-natural-light-to-enhance-your-photography	"포토그래피, 크리에이티브, 크리에이티브 영감 및 트렌드"	"포토샵, 라이트룸"	""	""
https://blog.adobe.com/ko/publish/2021/11/26/key-to-success-in-subscription-services	"고객사례, 디지털 혁신, 트렌드 및 리서치, 개인화, 광고, 분석, 콘텐츠 관리"	"익스피리언스 클라우드, 애널리틱스"	"미디어 및 엔터테인먼트"	"마케팅, 익스피리언스 클라우드"
https://blog.adobe.com/ko/publish/2021/11/25/11-contemporary-photo-editing-styles	"포토그래피, 크리에이티브, 크리에이티브 영감 및 트렌드"	"포토샵, 라이트룸"	""	""
https://blog.adobe.com/ko/publish/2021/11/24/how-to-be-youtuber-with-premiere-pro-2021	"비디오 및 오디오, 크리에이티브, 크리에이티브 영감 및 트렌드"	"프리미어 프로"	""	""
https://blog.adobe.com/ko/publish/2021/11/22/cc-series-producer-jung-interview	"크리에이티브, 비디오 및 오디오, 크리에이티브 영감 및 트렌드"	"크리에이티브 클라우드, 애프터 이펙트, 포토샵, 프리미어 프로"	"미디어 및 엔터테인먼트"	"어도비가 묻다, 크리에이티브 클라우드"
https://blog.adobe.com/ko/publish/2021/11/19/attracting-customersl-with-seamless-cx	"인공지능, 고객사례, 디지털 혁신, 업무의 미래, 트렌드 및 리서치, 커머스"	"익스피리언스 클라우드, 어도비 센세이, 마젠토 커머스"	"리테일"	"익스피리언스 클라우드"
https://blog.adobe.com/ko/publish/2021/11/17/cc-series-monica-dancer-interview	"크리에이티브, 비디오 및 오디오, 크리에이티브 영감 및 트렌드"	"크리에이티브 클라우드, 애프터 이펙트, 포토샵, 프리미어 프로"	"미디어 및 엔터테인먼트"	"어도비가 묻다, 크리에이티브 클라우드"
https://blog.adobe.com/ko/publish/2021/11/17/utilizing-virtual-trend-success-case	"고객사례, 디지털 혁신, 트렌드 및 리서치, 개인화, 캠페인 관리"	"익스피리언스 클라우드, 애널리틱스, 익스피리언스 매니저, 캠페인, 타깃"	"교육"	"교육, 마케팅, IT, 익스피리언스 클라우드"
https://blog.adobe.com/ko/publish/2021/11/16/best-of-max-2021	"크리에이티브 영감 및 트렌드, 크리에이티브"	"크리에이티브 클라우드"	""	"크리에이티브 클라우드"
https://blog.adobe.com/ko/publish/2021/11/08/cc-series-lenge-zepeto-creator-interview	"인사이트 및 영감, 크리에이티브, 디자인, 아트, 일러스트레이션, 크리에이티브 영감 및 트렌드"	"크리에이티브 클라우드, 서브스턴스, 포토샵"	""	"어도비가 묻다, 크리에이티브 클라우드"
https://blog.adobe.com/ko/publish/2021/11/05/smart-life-with-contactless-payment	"디지털 혁신, 개인화, 생산성, 인공지능"	"어도비 센세이, 익스피리언스 클라우드, 애널리틱스, 익스피리언스 매니저"	"텔레콤, 제조"	"익스피리언스 클라우드"
https://blog.adobe.com/ko/publish/2021/10/27/free-drawing-painting-app-adobe-fresco-adds-motion-tools-more-for-adobe-max-2021	"크리에이티브, 뉴스, 어도비 맥스 Adobe MAX, 일러스트레이션"	"크리에이티브 클라우드, 프레스코"	"미디어 및 엔터테인먼트"	"크리에이티브 클라우드"
https://blog.adobe.com/ko/publish/2021/10/27/maximize-value-creative-cloud-subscription	"어도비 맥스 Adobe MAX, 뉴스, 인공지능, 디지털 혁신, 타이포그래피"	"어도비 센세이, 크리에이티브 클라우드, 스톡, 일러스트레이터, 포토샵"	""	"크리에이티브 클라우드"
https://blog.adobe.com/ko/publish/2021/10/27/new-creative-cloud-releases-enable-creative-collaboration-drive-innovation-empower-creative-careers	"어도비 맥스 Adobe MAX"	"크리에이티브 클라우드, 라이트룸, 애프터 이펙트, 일러스트레이터, 캐릭터 애니메이터, 포토샵, 프레스코, 프리미어 러시, 프리미어 프로, XD"	""	"크리에이티브 클라우드"
https://blog.adobe.com/ko/publish/2021/10/27/unlock-your-creative-career-with-behance	"어도비 맥스 Adobe MAX, 인공지능, 크리에이티브, 디자인, 아트"	"어도비 센세이, 크리에이티브 클라우드, XD"	""	"콘텐츠 진위, 크리에이티브 클라우드"
https://blog.adobe.com/ko/publish/2021/10/27/creative-cloud-canvas-spaces-ps-ai-in-browser	"어도비 맥스 Adobe MAX, 뉴스, 디지털 혁신, 크리에이티브, 캠페인 관리, 디자인, 일러스트레이션, 포토그래피"	"크리에이티브 클라우드, 일러스트레이터, 포토샵, 프레스코, XD"	""	"크리에이티브 클라우드"
https://blog.adobe.com/ko/publish/2021/10/27/cruise-through-creative-work-latest-release-creative-cloud-video-apps	"어도비 맥스 Adobe MAX, 크리에이티브, 뉴스, 인공지능, 비디오 및 오디오"	"어도비 센세이, 크리에이티브 클라우드, 애프터 이펙트, 오디션, 캐릭터 애니메이터, 프리미어 프로"	"미디어 및 엔터테인먼트"	"크리에이티브 클라우드"
